%time(s) 	 x-pos 	 y-pos 
9.80000000e-01	-8.31108898e-01	-8.54550879e-02
9.90000000e-01	-8.32201156e-01	-6.25637931e-02
1.00000000e+00	-8.32642824e-01	-3.97255141e-02
1.01000000e+00	-8.32439166e-01	-1.69583738e-02
1.02000000e+00	-8.31595999e-01	5.71980646e-03
1.03000000e+00	-8.30119676e-01	2.82915326e-02
1.04000000e+00	-8.28017070e-01	5.07396555e-02
1.05000000e+00	-8.25295553e-01	7.30473895e-02
1.06000000e+00	-8.21962973e-01	9.51983314e-02
1.07000000e+00	-8.18027642e-01	1.17176478e-01
1.08000000e+00	-8.13498308e-01	1.38966238e-01
1.09000000e+00	-8.08384132e-01	1.60552450e-01
1.10000000e+00	-8.02694669e-01	1.81920390e-01
1.11000000e+00	-7.96439842e-01	2.03055786e-01
1.12000000e+00	-7.89629918e-01	2.23944823e-01
1.13000000e+00	-7.82275484e-01	2.44574156e-01
1.14000000e+00	-7.74387423e-01	2.64930911e-01
1.15000000e+00	-7.65976892e-01	2.85002694e-01
1.16000000e+00	-7.57055292e-01	3.04777590e-01
1.17000000e+00	-7.47634251e-01	3.24244169e-01
1.18000000e+00	-7.37725595e-01	3.43391483e-01
1.19000000e+00	-7.27341328e-01	3.62209062e-01
1.20000000e+00	-7.16493607e-01	3.80686921e-01
1.21000000e+00	-7.05194719e-01	3.98815546e-01
1.22000000e+00	-6.93457064e-01	4.16585894e-01
1.23000000e+00	-6.81293128e-01	4.33989389e-01
1.24000000e+00	-6.68715469e-01	4.51017907e-01
1.25000000e+00	-6.55736695e-01	4.67663775e-01
1.26000000e+00	-6.42369445e-01	4.83919760e-01
1.27000000e+00	-6.28626370e-01	4.99779056e-01
1.28000000e+00	-6.14520125e-01	5.15235278e-01
1.29000000e+00	-6.00063346e-01	5.30282447e-01
1.30000000e+00	-5.85268636e-01	5.44914977e-01
1.31000000e+00	-5.70148555e-01	5.59127668e-01
1.32000000e+00	-5.54715611e-01	5.72915687e-01
1.33000000e+00	-5.38982243e-01	5.86274558e-01
1.34000000e+00	-5.22960812e-01	5.99200148e-01
1.35000000e+00	-5.06663599e-01	6.11688654e-01
1.36000000e+00	-4.90102788e-01	6.23736587e-01
1.37000000e+00	-4.73290470e-01	6.35340761e-01
1.38000000e+00	-4.56238625e-01	6.46498275e-01
1.39000000e+00	-4.38959133e-01	6.57206505e-01
1.40000000e+00	-4.21463757e-01	6.67463090e-01
1.41000000e+00	-4.03764149e-01	6.77265913e-01
1.42000000e+00	-3.85871845e-01	6.86613096e-01
1.43000000e+00	-3.67798264e-01	6.95502983e-01
1.44000000e+00	-3.49554712e-01	7.03934130e-01
1.45000000e+00	-3.31152380e-01	7.11905290e-01
1.46000000e+00	-3.12602344e-01	7.19415410e-01
1.47000000e+00	-2.93915573e-01	7.26463613e-01
1.48000000e+00	-2.75102929e-01	7.33049192e-01
1.49000000e+00	-2.56175169e-01	7.39171601e-01
1.50000000e+00	-2.37142951e-01	7.44830445e-01
1.51000000e+00	-2.18016841e-01	7.50025476e-01
1.52000000e+00	-1.98807315e-01	7.54756582e-01
1.53000000e+00	-1.79524762e-01	7.59023783e-01
1.54000000e+00	-1.60179499e-01	7.62827226e-01
1.55000000e+00	-1.40781767e-01	7.66167179e-01
1.56000000e+00	-1.21341743e-01	7.69044031e-01
1.57000000e+00	-1.01869542e-01	7.71458283e-01
1.58000000e+00	-8.23752298e-02	7.73410551e-01
1.59000000e+00	-6.28688221e-02	7.74901563e-01
1.60000000e+00	-4.33602953e-02	7.75932158e-01
1.61000000e+00	-2.38595903e-02	7.76503284e-01
1.62000000e+00	-4.37662014e-03	7.76616003e-01
1.63000000e+00	1.50787245e-02	7.76271492e-01
1.64000000e+00	3.44965719e-02	7.75471043e-01
1.65000000e+00	5.38670599e-02	7.74216067e-01
1.66000000e+00	7.31803367e-02	7.72508095e-01
1.67000000e+00	9.24265528e-02	7.70348790e-01
1.68000000e+00	1.11595858e-01	7.67739943e-01
1.69000000e+00	1.30678398e-01	7.64683485e-01
1.70000000e+00	1.49664311e-01	7.61181488e-01
1.71000000e+00	1.68543731e-01	7.57236174e-01
1.72000000e+00	1.87306776e-01	7.52849923e-01
1.73000000e+00	2.05943559e-01	7.48025275e-01
1.74000000e+00	2.24444177e-01	7.42764943e-01
1.75000000e+00	2.42798720e-01	7.37071820e-01
1.76000000e+00	2.60997269e-01	7.30948982e-01
1.77000000e+00	2.79029897e-01	7.24399702e-01
1.78000000e+00	2.96886673e-01	7.17427456e-01
1.79000000e+00	3.14557670e-01	7.10035929e-01
1.80000000e+00	3.32032962e-01	7.02229027e-01
1.81000000e+00	3.49302636e-01	6.94010880e-01
1.82000000e+00	3.66356794e-01	6.85385854e-01
1.83000000e+00	3.83185563e-01	6.76358559e-01
1.84000000e+00	3.99779100e-01	6.66933853e-01
1.85000000e+00	4.16127604e-01	6.57116851e-01
1.86000000e+00	4.32221322e-01	6.46912930e-01
1.87000000e+00	4.48050562e-01	6.36327737e-01
1.88000000e+00	4.63605701e-01	6.25367191e-01
1.89000000e+00	4.78877202e-01	6.14037494e-01
1.90000000e+00	4.93855618e-01	6.02345126e-01
1.91000000e+00	5.08531611e-01	5.90296859e-01
1.92000000e+00	5.22895961e-01	5.77899751e-01
1.93000000e+00	5.36939585e-01	5.65161149e-01
1.94000000e+00	5.50653545e-01	5.52088695e-01
1.95000000e+00	5.64029067e-01	5.38690321e-01
1.96000000e+00	5.77057553e-01	5.24974249e-01
1.97000000e+00	5.89730596e-01	5.10948988e-01
1.98000000e+00	6.02039995e-01	4.96623336e-01
1.99000000e+00	6.13977774e-01	4.82006371e-01
2.00000000e+00	6.25536191e-01	4.67107444e-01
2.01000000e+00	6.36707754e-01	4.51936181e-01
2.02000000e+00	6.47485240e-01	4.36502468e-01
2.03000000e+00	6.57861703e-01	4.20816445e-01
2.04000000e+00	6.67830495e-01	4.04888500e-01
2.05000000e+00	6.77385273e-01	3.88729254e-01
2.06000000e+00	6.86520015e-01	3.72349554e-01
2.07000000e+00	6.95229035e-01	3.55760456e-01
2.08000000e+00	7.03506990e-01	3.38973220e-01
2.09000000e+00	7.11348892e-01	3.21999286e-01
2.10000000e+00	7.18750121e-01	3.04850269e-01
2.11000000e+00	7.25706434e-01	2.87537937e-01
2.12000000e+00	7.32213969e-01	2.70074197e-01
2.13000000e+00	7.38269258e-01	2.52471080e-01
2.14000000e+00	7.43869230e-01	2.34740721e-01
2.15000000e+00	7.49011218e-01	2.16895345e-01
2.16000000e+00	7.53692961e-01	1.98947247e-01
2.17000000e+00	7.57912612e-01	1.80908774e-01
2.18000000e+00	7.61668736e-01	1.62792304e-01
2.19000000e+00	7.64960310e-01	1.44610233e-01
2.20000000e+00	7.67786729e-01	1.26374954e-01
2.21000000e+00	7.70147797e-01	1.08098835e-01
2.22000000e+00	7.72043728e-01	8.97942078e-02
2.23000000e+00	7.73475143e-01	7.14733431e-02
2.24000000e+00	7.74443066e-01	5.31484369e-02
2.25000000e+00	7.74948917e-01	3.48315904e-02
2.26000000e+00	7.74994503e-01	1.65347958e-02
2.27000000e+00	7.74582013e-01	-1.73008292e-03
2.28000000e+00	7.73714009e-01	-1.99513242e-02
2.29000000e+00	7.72393418e-01	-3.81173631e-02
2.30000000e+00	7.70623517e-01	-5.62168097e-02
2.31000000e+00	7.68407925e-01	-7.42384576e-02
2.32000000e+00	7.65750591e-01	-9.21713010e-02
2.33000000e+00	7.62655781e-01	-1.10004546e-01
2.34000000e+00	7.59128064e-01	-1.27727617e-01
2.35000000e+00	7.55172299e-01	-1.45330177e-01
2.36000000e+00	7.50793620e-01	-1.62802124e-01
2.37000000e+00	7.45997426e-01	-1.80133612e-01
2.38000000e+00	7.40789359e-01	-1.97315047e-01
2.39000000e+00	7.35175296e-01	-2.14337102e-01
2.40000000e+00	7.29161328e-01	-2.31190719e-01
2.41000000e+00	7.22753747e-01	-2.47867111e-01
2.42000000e+00	7.15959035e-01	-2.64357770e-01
2.43000000e+00	7.08783840e-01	-2.80654465e-01
2.44000000e+00	7.01234970e-01	-2.96749246e-01
2.45000000e+00	6.93319374e-01	-3.12634448e-01
2.46000000e+00	6.85044125e-01	-3.28302681e-01
2.47000000e+00	6.76416411e-01	-3.43746838e-01
2.48000000e+00	6.67443517e-01	-3.58960089e-01
2.49000000e+00	6.58132813e-01	-3.73935879e-01
2.50000000e+00	6.48491742e-01	-3.88667922e-01
2.51000000e+00	6.38527805e-01	-4.03150204e-01
2.52000000e+00	6.28248551e-01	-4.17376968e-01
2.53000000e+00	6.17661562e-01	-4.31342716e-01
2.54000000e+00	6.06774449e-01	-4.45042201e-01
2.55000000e+00	5.95594835e-01	-4.58470418e-01
2.56000000e+00	5.84130349e-01	-4.71622599e-01
2.57000000e+00	5.72388615e-01	-4.84494208e-01
2.58000000e+00	5.60377246e-01	-4.97080928e-01
2.59000000e+00	5.48103833e-01	-5.09378655e-01
2.60000000e+00	5.35575944e-01	-5.21383492e-01
2.61000000e+00	5.22801111e-01	-5.33091737e-01
2.62000000e+00	5.09786827e-01	-5.44499874e-01
2.63000000e+00	4.96540545e-01	-5.55604571e-01
2.64000000e+00	4.83069668e-01	-5.66402659e-01
2.65000000e+00	4.69381549e-01	-5.76891132e-01
2.66000000e+00	4.55483489e-01	-5.87067137e-01
2.67000000e+00	4.41382733e-01	-5.96927963e-01
2.68000000e+00	4.27086470e-01	-6.06471031e-01
2.69000000e+00	4.12601831e-01	-6.15693889e-01
2.70000000e+00	3.97935891e-01	-6.24594202e-01
2.71000000e+00	3.83095667e-01	-6.33169742e-01
2.72000000e+00	3.68088121e-01	-6.41418383e-01
2.73000000e+00	3.52920161e-01	-6.49338093e-01
2.74000000e+00	3.37598643e-01	-6.56926921e-01
2.75000000e+00	3.22130377e-01	-6.64183000e-01
2.76000000e+00	3.06522122e-01	-6.71104530e-01
2.77000000e+00	2.90780600e-01	-6.77689781e-01
2.78000000e+00	2.74912493e-01	-6.83937080e-01
2.79000000e+00	2.58924449e-01	-6.89844809e-01
2.80000000e+00	2.42823090e-01	-6.95411401e-01
2.81000000e+00	2.26615013e-01	-7.00635334e-01
2.82000000e+00	2.10306798e-01	-7.05515127e-01
2.83000000e+00	1.93905010e-01	-7.10049338e-01
2.84000000e+00	1.77416212e-01	-7.14236562e-01
2.85000000e+00	1.60846967e-01	-7.18075426e-01
2.86000000e+00	1.44203840e-01	-7.21564591e-01
2.87000000e+00	1.27493415e-01	-7.24702748e-01
2.88000000e+00	1.10722290e-01	-7.27488619e-01
2.89000000e+00	9.38970945e-02	-7.29920957e-01
2.90000000e+00	7.70244855e-02	-7.31998548e-01
2.91000000e+00	6.01111616e-02	-7.33720212e-01
2.92000000e+00	4.31638662e-02	-7.35084804e-01
2.93000000e+00	2.61893943e-02	-7.36091216e-01
2.94000000e+00	9.19459929e-03	-7.36738383e-01
2.95000000e+00	-7.81360075e-03	-7.37025286e-01
2.96000000e+00	-2.48282187e-02	-7.36950956e-01
2.97000000e+00	-4.18421922e-02	-7.36514479e-01
2.98000000e+00	-5.88483794e-02	-7.35715001e-01
2.99000000e+00	-7.58395526e-02	-7.34551737e-01
3.00000000e+00	-9.28083946e-02	-7.33023972e-01
3.01000000e+00	-1.09747496e-01	-7.31131077e-01
3.02000000e+00	-1.26649349e-01	-7.28872507e-01
3.03000000e+00	-1.43506348e-01	-7.26247816e-01
3.04000000e+00	-1.60310784e-01	-7.23256665e-01
