time,u0,u1,u2,u3,u4,u5,u6,u7,u8,u9,u10,u11,u12,u13,u14,u15,u16,u17,u18,u19,u20,u21,u22,u23,u24,u25,u26,u27,u28,u29,u30,u31,u32,u33,u34,u35,u36,u37,u38,u39,u40,u41,u42,u43,u44,u45,u46,u47,u48,u49,u50
9.00000000e-02,0.00000000e+00,-4.00000000e-04,-1.60000000e-03,-3.60000000e-03,-6.40000000e-03,-1.00000055e-02,-1.44014358e-02,-1.98010485e-02,-4.08102044e-02,-1.63153533e-01,-1.47637062e+00,2.75925849e+00,-3.15762735e+00,2.52427942e+00,-1.23304081e+00,3.48309185e-02,8.93570894e-01,-1.25590358e+00,1.50936738e+00,-1.35920317e+00,1.27153661e+00,-9.02322661e-01,9.20995395e-01,-8.97628540e-01,1.28289844e+00,-1.35884884e+00,1.60005944e+00,-1.49292834e+00,1.64944387e+00,-1.53229332e+00,1.64480569e+00,-1.51956225e+00,1.64893373e+00,-1.61967349e+00,1.85747152e+00,-2.14914554e+00,2.81338077e+00,-3.49355851e+00,4.04179866e+00,-4.21010140e+00,3.97919884e+00,-3.55960667e+00,-5.48224749e-02,-1.98068894e-02,-1.44008787e-02,-9.99999337e-03,-6.39999970e-03,-3.59999999e-03,-1.60000000e-03,-4.00000000e-04,0.00000000e+00
1.00000000e-01,0.00000000e+00,-4.00000000e-04,-1.60000000e-03,-3.60000000e-03,-6.40000000e-03,-1.00000055e-02,-1.44014358e-02,-1.98010485e-02,-4.08102044e-02,-1.63153533e-01,1.37244785e+02,-2.51053615e+02,2.86812188e+02,-2.33456395e+02,1.24396758e+02,-1.01934628e+01,-7.43117904e+01,1.21612732e+02,-1.39336670e+02,1.36123555e+02,-1.18843440e+02,9.90271105e+01,-9.01275544e+01,9.90811443e+01,-1.19273958e+02,1.38657540e+02,-1.49697342e+02,1.54391072e+02,-1.56453291e+02,1.57438612e+02,-1.56891868e+02,1.56802036e+02,-1.59278646e+02,1.67024132e+02,-1.85236580e+02,2.22079439e+02,-2.78923259e+02,3.42563853e+02,-3.90639632e+02,4.06819906e+02,-3.89223445e+02,-3.55960667e+00,-5.48224749e-02,-1.98068894e-02,-1.44008787e-02,-9.99999337e-03,-6.39999970e-03,-3.59999999e-03,-1.60000000e-03,-4.00000000e-04,0.00000000e+00
1.10000000e-01,0.00000000e+00,-4.00000000e-04,-1.60000000e-03,-3.60000000e-03,-6.40000000e-03,-1.00000055e-02,-1.44014358e-02,-1.98010485e-02,-4.08102044e-02,-1.63153533e-01,1.37244785e+02,2.29030515e+04,-2.61665475e+04,2.17195870e+04,-1.21866876e+04,1.75160387e+03,6.42675946e+03,-1.13002354e+04,1.32709040e+04,-1.31245570e+04,1.17020952e+04,-1.00766033e+04,9.36895653e+03,-1.00900139e+04,1.17878911e+04,-1.35185020e+04,1.46613851e+04,-1.52189283e+04,1.54619533e+04,-1.55481210e+04,1.55437178e+04,-1.55875626e+04,1.59003079e+04,-1.67970631e+04,1.88041817e+04,-2.24858885e+04,2.77833220e+04,-3.35247011e+04,3.78759360e+04,-3.94307523e+04,-3.89223445e+02,-3.55960667e+00,-5.48224749e-02,-1.98068894e-02,-1.44008787e-02,-9.99999337e-03,-6.39999970e-03,-3.59999999e-03,-1.60000000e-03,-4.00000000e-04,0.00000000e+00
1.20000000e-01,0.00000000e+00,-4.00000000e-04,-1.60000000e-03,-3.60000000e-03,-6.40000000e-03,-1.00000055e-02,-1.44014358e-02,-1.98010485e-02,-4.08102044e-02,-1.63153533e-01,1.37244785e+02,2.29030515e+04,2.39772679e+06,-2.02309064e+06,1.18392746e+06,-2.29826793e+05,-5.53627002e+05,1.04615312e+06,-1.26089411e+06,1.26742827e+06,-1.15343167e+06,1.02052985e+06,-9.63244299e+05,1.02333187e+06,-1.16781956e+06,1.32363850e+06,-1.43684363e+06,1.49881095e+06,-1.52681195e+06,1.53699971e+06,-1.54003426e+06,1.54989121e+06,-1.58873073e+06,1.69066833e+06,-1.90347869e+06,2.26649613e+06,-2.76164752e+06,3.28419180e+06,-3.67980720e+06,-3.94307523e+04,-3.89223445e+02,-3.55960667e+00,-5.48224749e-02,-1.98068894e-02,-1.44008787e-02,-9.99999337e-03,-6.39999970e-03,-3.59999999e-03,-1.60000000e-03,-4.00000000e-04,0.00000000e+00
1.30000000e-01,0.00000000e+00,-4.00000000e-04,-1.60000000e-03,-3.60000000e-03,-6.40000000e-03,-1.00000055e-02,-1.44014358e-02,-1.98010485e-02,-4.08102044e-02,-1.63153533e-01,1.37244785e+02,2.29030515e+04,2.39772679e+06,1.88672798e+08,-1.14335382e+08,2.70190244e+07,4.75358813e+07,-9.66245307e+07,1.19623346e+08,-1.22462130e+08,1.13717105e+08,-1.02922862e+08,9.82955137e+07,-1.03419858e+08,1.15897418e+08,-1.29974866e+08,1.40966574e+08,-1.47533126e+08,1.50709052e+08,-1.51984141e+08,1.52633952e+08,-1.54163794e+08,1.58861794e+08,-1.70147984e+08,1.92199567e+08,-2.27686465e+08,2.74087926e+08,-3.21961766e+08,-3.67980720e+06,-3.94307523e+04,-3.89223445e+02,-3.55960667e+00,-5.48224749e-02,-1.98068894e-02,-1.44008787e-02,-9.99999337e-03,-6.39999970e-03,-3.59999999e-03,-1.60000000e-03,-4.00000000e-04,0.00000000e+00
1.40000000e-01,0.00000000e+00,-4.00000000e-04,-1.60000000e-03,-3.60000000e-03,-6.40000000e-03,-1.00000055e-02,-1.44014358e-02,-1.98010485e-02,-4.08102044e-02,-1.63153533e-01,1.37244785e+02,2.29030515e+04,2.39772679e+06,1.88672798e+08,1.09947293e+10,-2.99391970e+09,-4.06939584e+09,8.91358269e+09,-1.13387105e+10,1.18341556e+10,-1.12067629e+10,1.03435357e+10,-9.97504817e+09,1.04223963e+10,-1.15138416e+10,1.27903682e+10,-1.38450619e+10,1.45210138e+10,-1.48726752e+10,1.50307980e+10,-1.51327620e+10,1.53414196e+10,-1.58920224e+10,1.71137853e+10,-1.93636400e+10,2.28138242e+10,-2.71715142e+10,-3.21961766e+08,-3.67980720e+06,-3.94307523e+04,-3.89223445e+02,-3.55960667e+00,-5.48224749e-02,-1.98068894e-02,-1.44008787e-02,-9.99999337e-03,-6.39999970e-03,-3.59999999e-03,-1.60000000e-03,-4.00000000e-04,0.00000000e+00
1.50000000e-01,0.00000000e+00,-4.00000000e-04,-1.60000000e-03,-3.60000000e-03,-6.40000000e-03,-1.00000055e-02,-1.44014358e-02,-1.98010485e-02,-4.08102044e-02,-1.63153533e-01,1.37244785e+02,2.29030515e+04,2.39772679e+06,1.88672798e+08,1.09947293e+10,3.19835401e+11,3.47391971e+11,-8.21968210e+11,1.07429027e+12,-1.14351046e+12,1.10357367e+12,-1.03637853e+12,1.00792566e+12,-1.04791966e+12,1.14449735e+12,-1.26070063e+12,1.36119258e+12,-1.42947310e+12,1.46755638e+12,-1.48664503e+12,1.50081078e+12,-1.52734917e+12,1.59008922e+12,-1.71996704e+12,1.94700860e+12,-2.28125624e+12,-2.71715142e+10,-3.21961766e+08,-3.67980720e+06,-3.94307523e+04,-3.89223445e+02,-3.55960667e+00,-5.48224749e-02,-1.98068894e-02,-1.44008787e-02,-9.99999337e-03,-6.39999970e-03,-3.59999999e-03,-1.60000000e-03,-4.00000000e-04,0.00000000e+00
1.60000000e-01,0.00000000e+00,-4.00000000e-04,-1.60000000e-03,-3.60000000e-03,-6.40000000e-03,-1.00000055e-02,-1.44014358e-02,-1.98010485e-02,-4.08102044e-02,-1.63153533e-01,1.37244785e+02,2.29030515e+04,2.39772679e+06,1.88672798e+08,1.09947293e+10,3.19835401e+11,-2.95755268e+13,7.58184983e+13,-1.01777190e+14,1.10478611e+14,-1.08572334e+14,1.03570031e+14,-1.01495812e+14,1.05158639e+14,-1.13795877e+14,1.24416579e+14,-1.33952780e+14,1.40762906e+14,-1.44813216e+14,1.47054785e+14,-1.48889583e+14,1.52112609e+14,-1.59097277e+14,1.72705830e+14,-1.95434003e+14,-2.28125624e+12,-2.71715142e+10,-3.21961766e+08,-3.67980720e+06,-3.94307523e+04,-3.89223445e+02,-3.55960667e+00,-5.48224749e-02,-1.98068894e-02,-1.44008787e-02,-9.99999337e-03,-6.39999970e-03,-3.59999999e-03,-1.60000000e-03,-4.00000000e-04,0.00000000e+00
1.70000000e-01,0.00000000e+00,-4.00000000e-04,-1.60000000e-03,-3.60000000e-03,-6.40000000e-03,-1.00000055e-02,-1.44014358e-02,-1.98010485e-02,-4.08102044e-02,-1.63153533e-01,1.37244785e+02,2.29030515e+04,2.39772679e+06,1.88672798e+08,1.09947293e+10,3.19835401e+11,-2.95755268e+13,-6.99892434e+15,9.64451005e+15,-1.06721901e+16,1.06712604e+16,-1.03266352e+16,1.01915115e+16,-1.05350655e+16,1.13153784e+16,-1.22901288e+16,1.31931734e+16,-1.38665323e+16,1.42912899e+16,-1.45482545e+16,1.47747744e+16,-1.51531893e+16,1.59162275e+16,-1.73258677e+16,-1.95434003e+14,-2.28125624e+12,-2.71715142e+10,-3.21961766e+08,-3.67980720e+06,-3.94307523e+04,-3.89223445e+02,-3.55960667e+00,-5.48224749e-02,-1.98068894e-02,-1.44008787e-02,-9.99999337e-03,-6.39999970e-03,-3.59999999e-03,-1.60000000e-03,-4.00000000e-04,0.00000000e+00
1.80000000e-01,0.00000000e+00,-4.00000000e-04,-1.60000000e-03,-3.60000000e-03,-6.40000000e-03,-1.00000055e-02,-1.44014358e-02,-1.98010485e-02,-4.08102044e-02,-1.63153533e-01,1.37244785e+02,2.29030515e+04,2.39772679e+06,1.88672798e+08,1.09947293e+10,3.19835401e+11,-2.95755268e+13,-6.99892434e+15,-9.14358852e+17,1.03083157e+18,-1.04786239e+18,1.02757442e+18,-1.02092658e+18,1.05389046e+18,-1.12508340e+18,1.21493011e+18,-1.30038202e+18,1.36657166e+18,-1.41064287e+18,1.43951608e+18,-1.46650004e+18,1.50978133e+18,-1.59187157e+18,-1.73258677e+16,-1.95434003e+14,-2.28125624e+12,-2.71715142e+10,-3.21961766e+08,-3.67980720e+06,-3.94307523e+04,-3.89223445e+02,-3.55960667e+00,-5.48224749e-02,-1.98068894e-02,-1.44008787e-02,-9.99999337e-03,-6.39999970e-03,-3.59999999e-03,-1.60000000e-03,-4.00000000e-04,0.00000000e+00
1.90000000e-01,0.00000000e+00,-4.00000000e-04,-1.60000000e-03,-3.60000000e-03,-6.40000000e-03,-1.00000055e-02,-1.44014358e-02,-1.98010485e-02,-4.08102044e-02,-1.63153533e-01,1.37244785e+02,2.29030515e+04,2.39772679e+06,1.88672798e+08,1.09947293e+10,3.19835401e+11,-2.95755268e+13,-6.99892434e+15,-9.14358852e+17,-9.95662783e+19,1.02805407e+20,-1.02070871e+20,1.02062025e+20,-1.05290882e+20,1.11849601e+20,-1.20168211e+20,1.28256263e+20,-1.34737634e+20,1.39273694e+20,-1.42464861e+20,1.45590937e+20,-1.50438575e+20,-1.59187157e+18,-1.73258677e+16,-1.95434003e+14,-2.28125624e+12,-2.71715142e+10,-3.21961766e+08,-3.67980720e+06,-3.94307523e+04,-3.89223445e+02,-3.55960667e+00,-5.48224749e-02,-1.98068894e-02,-1.44008787e-02,-9.99999337e-03,-6.39999970e-03,-3.59999999e-03,-1.60000000e-03,-4.00000000e-04,0.00000000e+00
2.00000000e-01,0.00000000e+00,-4.00000000e-04,-1.60000000e-03,-3.60000000e-03,-6.40000000e-03,-1.00000055e-02,-1.44014358e-02,-1.98010485e-02,-4.08102044e-02,-1.63153533e-01,1.37244785e+02,2.29030515e+04,2.39772679e+06,1.88672798e+08,1.09947293e+10,3.19835401e+11,-2.95755268e+13,-6.99892434e+15,-9.14358852e+17,-9.95662783e+19,-1.00783937e+22,1.01231585e+22,-1.01850830e+22,1.05070439e+22,-1.11171078e+22,1.18908889e+22,-1.26572030e+22,1.32903930e+22,-1.37544734e+22,1.41023940e+22,-1.44565418e+22,-1.50438575e+20,-1.59187157e+18,-1.73258677e+16,-1.95434003e+14,-2.28125624e+12,-2.71715142e+10,-3.21961766e+08,-3.67980720e+06,-3.94307523e+04,-3.89223445e+02,-3.55960667e+00,-5.48224749e-02,-1.98068894e-02,-1.44008787e-02,-9.99999337e-03,-6.39999970e-03,-3.59999999e-03,-1.60000000e-03,-4.00000000e-04,0.00000000e+00
2.10000000e-01,0.00000000e+00,-4.00000000e-04,-1.60000000e-03,-3.60000000e-03,-6.40000000e-03,-1.00000055e-02,-1.44014358e-02,-1.98010485e-02,-4.08102044e-02,-1.63153533e-01,1.37244785e+02,2.29030515e+04,2.39772679e+06,1.88672798e+08,1.09947293e+10,3.19835401e+11,-2.95755268e+13,-6.99892434e+15,-9.14358852e+17,-9.95662783e+19,-1.00783937e+22,-1.00262168e+24,1.01482413e+24,-1.04739992e+24,1.10468660e+24,-1.17701133e+24,1.24973500e+24,-1.31152117e+24,1.35878887e+24,-1.39629268e+24,-1.44565418e+22,-1.50438575e+20,-1.59187157e+18,-1.73258677e+16,-1.95434003e+14,-2.28125624e+12,-2.71715142e+10,-3.21961766e+08,-3.67980720e+06,-3.94307523e+04,-3.89223445e+02,-3.55960667e+00,-5.48224749e-02,-1.98068894e-02,-1.44008787e-02,-9.99999337e-03,-6.39999970e-03,-3.59999999e-03,-1.60000000e-03,-4.00000000e-04,0.00000000e+00
2.20000000e-01,0.00000000e+00,-4.00000000e-04,-1.60000000e-03,-3.60000000e-03,-6.40000000e-03,-1.00000055e-02,-1.44014358e-02,-1.98010485e-02,-4.08102044e-02,-1.63153533e-01,1.37244785e+02,2.29030515e+04,2.39772679e+06,1.88672798e+08,1.09947293e+10,3.19835401e+11,-2.95755268e+13,-6.99892434e+15,-9.14358852e+17,-9.95662783e+19,-1.00783937e+22,-1.00262168e+24,-1.00976922e+26,1.04310364e+26,-1.09739925e+26,1.16534095e+26,-1.23450327e+26,1.29477634e+26,-1.34276001e+26,-1.39629268e+24,-1.44565418e+22,-1.50438575e+20,-1.59187157e+18,-1.73258677e+16,-1.95434003e+14,-2.28125624e+12,-2.71715142e+10,-3.21961766e+08,-3.67980720e+06,-3.94307523e+04,-3.89223445e+02,-3.55960667e+00,-5.48224749e-02,-1.98068894e-02,-1.44008787e-02,-9.99999337e-03,-6.39999970e-03,-3.59999999e-03,-1.60000000e-03,-4.00000000e-04,0.00000000e+00
2.30000000e-01,0.00000000e+00,-4.00000000e-04,-1.60000000e-03,-3.60000000e-03,-6.40000000e-03,-1.00000055e-02,-1.44014358e-02,-1.98010485e-02,-4.08102044e-02,-1.63153533e-01,1.37244785e+02,2.29030515e+04,2.39772679e+06,1.88672798e+08,1.09947293e+10,3.19835401e+11,-2.95755268e+13,-6.99892434e+15,-9.14358852e+17,-9.95662783e+19,-1.00783937e+22,-1.00262168e+24,-1.00976922e+26,-1.03791290e+28,1.08983678e+28,-1.15399270e+28,1.21993593e+28,-1.27875623e+28,-1.34276001e+26,-1.39629268e+24,-1.44565418e+22,-1.50438575e+20,-1.59187157e+18,-1.73258677e+16,-1.95434003e+14,-2.28125624e+12,-2.71715142e+10,-3.21961766e+08,-3.67980720e+06,-3.94307523e+04,-3.89223445e+02,-3.55960667e+00,-5.48224749e-02,-1.98068894e-02,-1.44008787e-02,-9.99999337e-03,-6.39999970e-03,-3.59999999e-03,-1.60000000e-03,-4.00000000e-04,0.00000000e+00
2.40000000e-01,0.00000000e+00,-4.00000000e-04,-1.60000000e-03,-3.60000000e-03,-6.40000000e-03,-1.00000055e-02,-1.44014358e-02,-1.98010485e-02,-4.08102044e-02,-1.63153533e-01,1.37244785e+02,2.29030515e+04,2.39772679e+06,1.88672798e+08,1.09947293e+10,3.19835401e+11,-2.95755268e+13,-6.99892434e+15,-9.14358852e+17,-9.95662783e+19,-1.00783937e+22,-1.00262168e+24,-1.00976922e+26,-1.03791290e+28,-1.08199642e+30,1.14289960e+30,-1.20595583e+30,-1.27875623e+28,-1.34276001e+26,-1.39629268e+24,-1.44565418e+22,-1.50438575e+20,-1.59187157e+18,-1.73258677e+16,-1.95434003e+14,-2.28125624e+12,-2.71715142e+10,-3.21961766e+08,-3.67980720e+06,-3.94307523e+04,-3.89223445e+02,-3.55960667e+00,-5.48224749e-02,-1.98068894e-02,-1.44008787e-02,-9.99999337e-03,-6.39999970e-03,-3.59999999e-03,-1.60000000e-03,-4.00000000e-04,0.00000000e+00
2.50000000e-01,0.00000000e+00,-4.00000000e-04,-1.60000000e-03,-3.60000000e-03,-6.40000000e-03,-1.00000055e-02,-1.44014358e-02,-1.98010485e-02,-4.08102044e-02,-1.63153533e-01,1.37244785e+02,2.29030515e+04,2.39772679e+06,1.88672798e+08,1.09947293e+10,3.19835401e+11,-2.95755268e+13,-6.99892434e+15,-9.14358852e+17,-9.95662783e+19,-1.00783937e+22,-1.00262168e+24,-1.00976922e+26,-1.03791290e+28,-1.08199642e+30,-1.13200887e+32,-1.20595583e+30,-1.27875623e+28,-1.34276001e+26,-1.39629268e+24,-1.44565418e+22,-1.50438575e+20,-1.59187157e+18,-1.73258677e+16,-1.95434003e+14,-2.28125624e+12,-2.71715142e+10,-3.21961766e+08,-3.67980720e+06,-3.94307523e+04,-3.89223445e+02,-3.55960667e+00,-5.48224749e-02,-1.98068894e-02,-1.44008787e-02,-9.99999337e-03,-6.39999970e-03,-3.59999999e-03,-1.60000000e-03,-4.00000000e-04,0.00000000e+00
